"00a_introduction", "Introduction"
"01a_tutorial", "Tutorial"
"01b_spacestation", "Space Station"
"03a_oldmombasa", "Old Mombassa"
"03b_newmombasa", "New Mombassa"
"04a_gasgiant", "Gas Giant"
"04b_floodlab", "Flood Lab"
"05a_deltaapproach", "Delta Approach"
"05b_deltatowers", "Delta Towers"
"06a_sentinelwalls", "Sentinel Walls"
"06b_floodzone", "Flood Zone"
"07a_highcharity", "High Charity"
"07b_forerunnership", "Forerunner Ship"
"08a_deltacliffs", "Delta Cliffs"
"08b_deltacontrol", "Delta Control"
"ascension", "Ascension"
"beavercreek", "Beaver Creek"
"burial_mounds", "Burial Mounds"
"coagulation", "Coagulation"
"colossus", "Colossus"
"cyclotron", "Cyclotron"
"foundation", "Foundation"
"headlong", "Headlong"
"lockout", "Lockout"
"mainmenu", "Main Menu"
"midship", "Mid Ship"
"shared", "Multiplayer Shared"
"single_player_shared", "Single Player Shared"
"waterworks", "Waterworks"
"zanzibar", "Zanzibar"
